Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
CHEVROLET,CAMARO ZL1,SUBCOMPACT,0.7066666666666667,0.38461538461538464,M6,Z,0.48863636363636365,0.4819277108433734,0.4863636363636364,0.13793103448275862,0.5915492957746479
JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,SUV - SMALL,0.3066666666666667,0.23076923076923078,A9,X,0.32575757575757575,0.3012048192771084,0.3181818181818182,0.24137931034482757,0.38262910798122063
DODGE,DURANGO AWD FFV,SUV - STANDARD,0.36,0.23076923076923078,A8,E,0.5113636363636362,0.542168674698795,0.5227272727272727,0.12068965517241381,0.3615023474178404
CHEVROLET,MALIBU,MID-SIZE,0.14666666666666667,0.07692307692307693,AS8,Z,0.24242424242424238,0.1867469879518072,0.22272727272727277,0.3448275862068965,0.2699530516431925
CHRYSLER,300 SRT (MDS),FULL-SIZE,0.7333333333333334,0.38461538461538464,A5,Z,0.4734848484848484,0.37951807228915657,0.440909090909091,0.15517241379310348,0.5187793427230046
LEXUS,NX 300 AWD,SUV - SMALL,0.14666666666666667,0.07692307692307693,AS6,Z,0.24242424242424238,0.2710843373493975,0.2545454545454545,0.3103448275862069,0.30516431924882625
TOYOTA,Camry AWD XLE/XSE,MID-SIZE,0.21333333333333332,0.07692307692307693,AS8,X,0.20075757575757575,0.18072289156626506,0.1954545454545455,0.396551724137931,0.23708920187793428
GMC,ACADIA,SUV - STANDARD,0.36,0.23076923076923078,A6,X,0.33712121212121204,0.32530120481927705,0.33181818181818185,0.24137931034482757,0.4037558685446009
VOLVO,XC60 T6 AWD,SUV - SMALL,0.14666666666666667,0.07692307692307693,AS8,Z,0.284090909090909,0.2831325301204818,0.28636363636363643,0.27586206896551724,0.3474178403755869
NISSAN,Pathfinder 4WD Platinum,SUV - SMALL,0.3466666666666667,0.23076923076923078,AV,X,0.31060606060606055,0.31325301204819267,0.31363636363636366,0.25862068965517243,0.3779342723004695
MERCEDES-BENZ,AMG E 63 S 4MATIC,MID-SIZE,0.6133333333333333,0.38461538461538464,AS7,Z,0.4204545454545454,0.40963855421686746,0.41818181818181827,0.1724137931034483,0.5023474178403756
MERCEDES-BENZ,SLC 300,TWO-SEATER,0.14666666666666667,0.07692307692307693,A9,Z,0.21969696969696967,0.1987951807228915,0.21363636363636368,0.3620689655172414,0.255868544600939
RAM,1500 (MDS),PICKUP TRUCK - STANDARD,0.64,0.38461538461538464,A6,X,0.48863636363636365,0.4819277108433734,0.4863636363636364,0.13793103448275862,0.5727699530516431
MERCEDES-BENZ,AMG C 43 4MATIC Cabriolet,SUBCOMPACT,0.28,0.23076923076923078,A9,Z,0.3219696969696969,0.31325301204819267,0.3227272727272727,0.24137931034482757,0.392018779342723
TOYOTA,Yaris Hatchback,COMPACT,0.08000000000000002,0.07692307692307693,A4,X,0.14015151515151514,0.16867469879518068,0.15000000000000002,0.46551724137931033,0.18075117370892022
CHEVROLET,SONIC,COMPACT,0.12,0.07692307692307693,M5,X,0.18939393939393934,0.1867469879518072,0.19090909090909097,0.396551724137931,0.23004694835680753
NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,0.6266666666666666,0.38461538461538464,A5,X,0.587121212121212,0.6204819277108433,0.6000000000000001,0.08620689655172414,0.7089201877934272
MAZDA,MAZDA5,MINIVAN,0.21333333333333332,0.07692307692307693,M6,X,0.2613636363636363,0.25903614457831325,0.25909090909090915,0.3103448275862069,0.3145539906103286
